index,name,place_id,rating,rating_count,tags,address,price_level
916,Sorelle Bakery & Cafe,ChIJdZNQsoFw44kRzxmCbQoEf8A,4.2,246,"('cafe', 'meal_takeaway', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment')","282 Congress St, Boston",2
917,Sauciety Restaurant,ChIJde0H54N644kRaBPIDoB_moY,3.5,36,"('restaurant', 'food', 'point_of_interest', 'establishment')","425 Summer Street, Boston",3
918,Bar 10,ChIJbX90TQx644kRhdtPW_oPGCM,4.0,132,"('restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment')","10 Huntington Ave, Boston",2
919,Lee's Burger,ChIJdypj079544kRkxpxt3RQYdA,4.2,615,"('restaurant', 'food', 'point_of_interest', 'establishment')","1331 Beacon St, Brookline",1
920,Fuji at Ink Block,ChIJz3AsQXB644kRt9SrW0WT9l4,4.5,640,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","352b Harrison Ave, Boston",2
921,Jen Lai Noodle & Rice Co,ChIJq6wCdoZw44kRPJEs88k02HI,2.1,40,"('restaurant', 'food', 'point_of_interest', 'establishment')","1 S Market St, Boston",Unknown
922,Bricco Salumeria & Pasta Shop,ChIJTwh8xYhw44kRMcq03uNuWLk,4.6,248,"('grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment')","11 Board Alley, Boston",2
923,Joe's Waterfront,ChIJtz6OPIhw44kRcoQMq5iqy7s,4.1,1508,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","100 Atlantic Ave, Boston",2
924,Futago Udon,ChIJsXnAniB544kR43kTP2r7tWA,4.4,439,"('restaurant', 'point_of_interest', 'food', 'establishment')","508-512 Park Dr, Boston",2
925,Food Cart Boston Father & Son 2,ChIJfQ3hoqRx44kR0aYRgohXYWo,2.3,3,"('restaurant', 'food', 'point_of_interest', 'establishment')","John Paul II Placard, 16 Charles St, Boston",Unknown
926,Rochambeau,ChIJMU7XDK5744kRpfx70sxEFEI,4.1,456,"('cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","900 Boylston St, Boston",4
