name,rating,price_level,rating_count,tags,address
Ba Lẹ Restaurant,4.6,1,1073.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","1052 Dorchester Ave, Boston"
REDWHITE BONELESS RAMEN,4.6,2,839.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","294 Newbury St, Boston"
Mike & Patty's Bay Village,4.6,1,1654.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","12 Church St, Boston"
Sabroso Taqueria,4.6,1,227.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","2 Oliver St, Boston"
Maruichi Select,4.6,2,88.0,"('cafe', 'restaurant', 'food', 'point_of_interest', 'establishment')","299 Harvard St, Brookline"
Bottega di Capri,4.6,1,620.0,"('store', 'restaurant', 'food', 'point_of_interest', 'establishment')","41 Harvard St, Brookline"
Mooo.... Seaport,4.6,Unknown,220.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","49 Melcher St, Boston"
Mistral,4.6,3,1002.0,"('bar', 'restaurant', 'point_of_interest', 'food', 'establishment')","223 Columbus Ave, Boston"
Carmelina's,4.6,2,1968.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","307 Hanover St, Boston"
Sombrero Chiquito,4.5,2,70.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","197A Massachusetts Ave, Boston"
French Quarter,4.5,2,528.0,"('restaurant', 'bar', 'point_of_interest', 'food', 'establishment')","545 Washington St, Boston"
GRECO,4.5,1,147.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","1 Milk St, Boston"
Locale,4.5,2,575.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","352 Hanover St, Boston"
Asta,4.5,3,196.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","47 Massachusetts Ave, Boston"
GRECO,4.5,1,469.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","200 Pier 4 Blvd., Boston"
Morton's The Steakhouse,4.5,4,1004.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","2 Seaport Ln, Boston"
Broadside Tavern,4.5,2,388.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","99 Broad St, Boston"
La Summa,4.5,2,496.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","30 Fleet St, Boston"
